Patient	Pheno	Count_Norm
Set4_1-6plex_S	Total_Cells	2781
Set4_1-6plex_S	CD68+	757.7620424307803
Set4_1-6plex_S	CD8+	721.2643293779216
Set4_1-6plex_S	FoxP3+	694.3255411722403
Set4_1-6plex_S	CK+	243.31808701905788
