GROUP	DISTANCE
Tumor	-0.38530831281491723
Tumor	-0.8369403796005486
Tumor	-0.5534132372113327
Tumor	2.1625334010594206
Tumor	1.7471423631721388
Tumor	0.18231988239487978
Tumor	1.8477434200432137
Tumor	-1.1398758620050042
Tumor	0.6384172434917869
Tumor	1.675245736738017
Tumor	0.34966467252627886
Tumor	1.2434013949493086
Tumor	-0.15197482159979467
Tumor	0.2008066936024578
Tumor	-0.9733523226041758
Tumor	1.5607818408725909
Tumor	0.9990460676965578
Tumor	-0.5285234247591326
Tumor	-0.7668663172390366
Tumor	0.11065912517405198
Tumor	0.1818609661240074
Tumor	-1.17122591332
Tumor	-0.8128722209491102
Tumor	0.7305669290794692
Tumor	-0.24562787706904174
Tumor	-0.978028072541136
Tumor	-0.792606867000812
Tumor	0.013909689270260822
Tumor	-0.8128722209491102
Tumor	-0.5091028520392752
Tumor	-0.4720095872261823
Tumor	-0.8562120066017638
Tumor	0.7556347605007411
Tumor	-0.9377949590542447
Tumor	1.1356256263097335
Tumor	0.11137640555950538
Tumor	-0.6273127050048899
Tumor	0.02402347970973211
Tumor	-1.0054742551207043
Tumor	-1.0342952682779478
Tumor	-0.2538320297770928
Tumor	-1.0291430274722275
Tumor	-0.2716295018932574
Tumor	-0.33235301015459306
Tumor	0.38002003253519184
Tumor	0.13133831083658673
Tumor	-0.6760562316802177
Tumor	-0.9271953052234428
Tumor	-0.9247261286398414
Tumor	-0.3578823988680139
Tumor	-0.23206512429721626
Tumor	-0.4749312912777877
Tumor	1.3598983134646838
Tumor	1.0017105710832164
Tumor	-0.17710670378995053
Tumor	-0.6188681857972489
Tumor	-1.1672995189631172
Tumor	-1.2571550438966401
Tumor	-1.1791936399755905
Tumor	-1.0125426273479292
Tumor	0.4551213691691673
Tumor	-0.878883654955435
Tumor	-0.31785910518832117
Tumor	0.3781624108982686
Tumor	-0.0842257940541045
Tumor	0.0606566704088978
Tumor	1.3829213575366526
Tumor	0.27835941788214763
Tumor	4.133843545109543
Tumor	1.0187298643950036
Tumor	-0.033725995010177305
Tumor	0.1825492957609074
Tumor	0.6917351467352231
Tumor	-0.016823869228921713
Tumor	0.05670911314822282
Tumor	-1.1614787382335767
Tumor	0.7057551503470334
Tumor	0.19352626912091472
Tumor	2.2855660636947337
Tumor	-1.1547881642220732
Tumor	1.0017105710832164
Tumor	-0.878883654955435
Tumor	1.872201547294647
Tumor	-0.5289078019758399
Tumor	-0.792606867000812
Tumor	-1.3593301431904148
Tumor	0.22179859396259574
Tumor	-0.10299206642826107
Tumor	0.26963571034782347
Tumor	-0.22280064851187462
Tumor	1.12846736912792
Tumor	-0.5510542783833035
Tumor	0.12779078251539344
Tumor	2.7584329444195697
Tumor	1.1212901537608337
Tumor	-0.3598682952959991
Tumor	-0.32847157636344915
Tumor	-0.42067568996876054
Tumor	-1.0342952682779478
Tumor	-1.035035267949219
Tumor	-1.0168261172338573
Tumor	-0.6832354810792589
Tumor	0.0477921403664316
Tumor	-0.2112343062996316
Tumor	0.45114354087187475
Tumor	-0.7486896075791998
Tumor	0.010863026151243285
Tumor	0.290288130984446
Tumor	-0.01656526235076184
Tumor	3.514757829909999
Tumor	0.013909689270260822
Tumor	-0.28404585105304814
Tumor	-0.978028072541136
Tumor	-0.6707089300190272
Tumor	-0.37118325450059253
Tumor	-0.47055161657405353
Tumor	-0.49054575398250566
Tumor	0.03095303996796384
Tumor	-1.0561839958387809
Tumor	-0.2670672093653291
Tumor	-0.9109942510099148
Tumor	1.4471593704921226
Tumor	-0.3722124558674034
Tumor	-0.2649919160195346
Tumor	-0.150335429355373
Tumor	-0.28382044698495823
Tumor	-0.7449331526961835
Tumor	-0.8610081351685127
Tumor	0.5201570133002346
Tumor	0.08802747743930661
Tumor	-0.3720584717459188
Tumor	0.06667858069600084
Tumor	-0.7636263687930319
Tumor	-0.04169086908135808
Tumor	-0.2987068823846391
Tumor	0.9669161015321843
Tumor	-0.22658190541081996
Tumor	0.422815930295841
Tumor	-0.08255732407806092
Tumor	-0.38899405137701115
Tumor	-0.18062628274331854
Tumor	-0.5518632169671859
Tumor	-0.016092327523582695
Tumor	0.49022271694362024
Tumor	-0.03317648646754916
Tumor	1.417695909930085
Tumor	-0.5990303679621671
Tumor	0.7104403184617555
Tumor	0.03750923039054318
Tumor	2.0975741283606473
Tumor	-0.05405287686624794
Tumor	1.0395813533709282
Tumor	0.8180883308530159
Tumor	-1.117378310266601
Tumor	-0.08467764885090887
Tumor	-0.8776969370542091
Tumor	0.3132788772377988
Tumor	1.047258222321137
Tumor	-1.1305008295939305
Tumor	-0.3346197183041216
Tumor	-0.8296613723929371
Tumor	-0.9310030649149209
Tumor	-0.5045856271626609
Tumor	-1.0744085833974828
Tumor	-0.7660080781752947
Tumor	-0.4621405231754714
Tumor	-1.020176666506457
Tumor	-0.6010636414410128
Tumor	-0.34056055746405783
Tumor	-0.7575863205626197
Tumor	-0.42106833069776745
Tumor	-0.6799714268430141
Tumor	2.69667364890942
Tumor	3.125934629543621
Tumor	1.6138691454217509
Tumor	3.485089450628553
Tumor	-0.7248613651361733
Tumor	-0.7668042964675259
Tumor	-0.2521283450672024
Tumor	0.23910000706625642
Tumor	-0.5463567992170638
Tumor	0.881824741487692
Tumor	0.7080054794423438
Tumor	0.8190325542393416
Tumor	-0.7731744286319036
Tumor	-1.307512753603427
Tumor	-0.4163173496646304
Tumor	-1.1708859928262978
Tumor	1.2890583285425254
Tumor	-0.4891055991547101
Tumor	-0.4182475389194007
Tumor	-1.1004986506073435
