GROUP	DISTANCE
Tumor	-0.049627486884030306
Tumor	0.600985259905258
Tumor	1.2502937376352998
Tumor	-0.35923954656925794
Tumor	0.12502399818179916
Tumor	-0.4575878046459823
Tumor	0.2497554557984396
Tumor	-0.1857007835060984
Tumor	0.007053562891051949
Tumor	-0.40429058084175157
Tumor	-1.3978050402151565
Tumor	0.49116483269116035
Tumor	-1.337294322903144
Tumor	-0.7289149919103314
Tumor	0.8210365134429256
Tumor	-0.5709352555116163
Tumor	-0.1857007835060984
Tumor	-1.0104311736225726
Tumor	-0.955401196806442
Tumor	-0.2375318901014822
Tumor	-1.6929748128560875
Tumor	-0.955401196806442
Tumor	-0.23168984606303974
Tumor	-0.4781160805810537
Tumor	0.9346075285482486
Tumor	-0.08131885291009334
Tumor	-0.6009049900824636
Tumor	0.21814737699775436
Tumor	0.30721602420793037
Tumor	-0.30326956576656533
Tumor	-0.9137551557410513
Tumor	-0.5709352555116163
Tumor	0.2497554557984396
Tumor	2.9326953819356456
Tumor	0.40942606385239766
Tumor	0.4218760742198089
Tumor	0.5584439351991721
Tumor	-0.1857007835060984
Tumor	-1.0335077154021364
Tumor	0.18604367213133513
Tumor	-0.3783758589814336
Tumor	-0.35923954656925794
Tumor	-0.955401196806442
Tumor	-0.10276953875225676
Tumor	-0.2375318901014822
Tumor	-1.2503260577934758
Tumor	0.4588197195119438
Tumor	0.4588197195119438
Tumor	4.958995439215924
Tumor	-0.05487007869565164
Tumor	-0.05487007869565164
Tumor	0.9143079314108259
Tumor	0.6801988852375715
Tumor	-0.5344480392398883
Tumor	0.6876130296795604
Tumor	-0.8642210691872642
Tumor	-0.30326956576656533
Tumor	-0.08131885291009334
Tumor	-0.8451051051034972
Tumor	0.21814737699775436
Tumor	-1.2189979507282978
Tumor	0.10104140232826792
Tumor	-0.09201109197483807
Tumor	0.9847159779504656
Tumor	-0.7289149919103314
Tumor	0.11067001539056623
Tumor	0.8594265578297322
Tumor	-0.9991333658981884
Tumor	0.5584439351991721
Tumor	-1.2189979507282978
Tumor	-0.4781160805810537
Tumor	1.4693989280344468
Tumor	0.7927634909862482
Tumor	2.138672794131417
Tumor	0.600985259905258
Tumor	-0.8451051051034972
Tumor	-0.789864042452174
Tumor	0.2497554557984396
Tumor	0.19986459207528753
Tumor	2.5579502946968917
Tumor	0.37588245049750824
Tumor	0.600985259905258
Tumor	-0.5344480392398883
Tumor	-0.1800423063341648
Tumor	-1.1469399014692756
Tumor	-0.5709352555116163
Tumor	-0.9991333658981884
Tumor	-0.955401196806442
Tumor	-0.8642210691872642
Tumor	-0.4240401677764837
Tumor	0.001973229220682504
Tumor	-0.9661265397275223
Tumor	-0.09201109197483807
Tumor	0.3589178447906439
Tumor	1.5832346554647843
Tumor	1.5281872041569213
Tumor	-0.1631821622089548
Tumor	-1.4199573571626816
Tumor	-1.0943615436360241
Tumor	1.1173348918952464
Tumor	-1.4433785520965803
Tumor	-0.7038037332414881
Tumor	1.9927608390048932
Tumor	1.9658519039773514
Tumor	-0.5416627778359452
Tumor	-1.2503260577934758
Tumor	0.7605874622230171
Tumor	-0.3529158873038464
Tumor	0.7677721390010189
Tumor	-0.4575878046459823
Tumor	-1.1469399014692756
Tumor	0.2362683578166086
Tumor	-0.4781160805810537
Tumor	0.971441377904441
Tumor	0.49517632811981077
Tumor	1.585963738824678
Tumor	0.40906678285748443
Tumor	-0.8650237556099379
Tumor	1.470800420181248
Tumor	0.22735714113722721
Tumor	-1.5899198244466108
Tumor	-0.4466690013841619
Tumor	0.572153149002287
Tumor	0.2957156012068829
Tumor	3.9060979611561644
Tumor	-0.07854019121773032
Tumor	0.2957156012068829
Tumor	-0.29774502796681657
Tumor	0.8059637142867194
Tumor	2.007906515180517
Tumor	1.213157155581888
Tumor	0.007786357612380865
Tumor	-0.07854019121773032
Tumor	0.06325007095068962
Tumor	-0.9878838320869621
Tumor	1.9241933708482555
Tumor	1.470800420181248
Tumor	-1.2403882557819559
Tumor	-0.512566033448683
Tumor	-0.5918769410192734
Tumor	-1.551055431883481
Tumor	-0.5029644325064061
Tumor	0.007786357612380865
Tumor	-0.24025855155887485
Tumor	-1.7545520332482658
Tumor	-1.0326126650904297
Tumor	0.4551752396591297
Tumor	0.09040797082856386
Tumor	-0.29774502796681657
Tumor	-0.7550587295962216
Tumor	0.8795633075782138
Tumor	-1.32559437162266
Tumor	-0.720643670658897
Tumor	-0.9592217521853437
Tumor	-1.5899198244466108
Tumor	0.09040797082856386
Tumor	0.2895886189487112
Tumor	-0.27286215403337105
Tumor	-0.4466690013841619
Tumor	-0.04208825549554732
Tumor	0.3200558907537578
Tumor	0.8405544653552177
Tumor	-1.398571486012271
Tumor	0.16326678210067463
Tumor	-1.32559437162266
Tumor	1.2088277251815238
Tumor	0.22103447237159388
Tumor	1.2261096907714264
Tumor	0.22103447237159388
Tumor	0.5502988899749038
Tumor	0.0007407376792334585
Tumor	0.6838795381383275
Tumor	-1.2403882557819559
Tumor	-0.100762060778681
Tumor	-0.4466690013841619
Tumor	0.22735714113722721
Tumor	-0.04208825549554732
Tumor	0.5884188542513071
Tumor	-0.1667206569620191
Tumor	0.7592259712596165
Tumor	-1.2740540745205673
Tumor	-1.5341775932421706
Tumor	0.8382605817619182
Tumor	0.303343020147335
Tumor	-1.170835982372026
Tumor	0.47840696307629194
Tumor	-0.1667206569620191
Tumor	0.3454355821172027
Tumor	0.8236190165212046
Tumor	-1.1902024649525458
Tumor	1.3820938510539575
Tumor	-1.1336542881320033
Tumor	-0.2625442667022347
