Patient	Pheno	Count_all_Norm
Set4_1-6plex_T	Total_Cells	5758
Set4_1-6plex_T	CD68+	201.32916521940487
Set4_1-6plex_T	CD8+	191.89186059974526
Set4_1-6plex_T	FoxP3+	91.22727799004284
Set4_1-6plex_T	CK+	4043.88502952414
