Patient	Pheno	Count_Norm
Set4_1-6plex_T	Total_Cells	5758
Set4_1-6plex_T	CD68+	295.21361583883294
Set4_1-6plex_T	CD8+	281.3754775963876
Set4_1-6plex_T	FoxP3+	133.76866967697117
Set4_1-6plex_T	CK+	5929.642236887808
